Marine energy testing facilities
	"Test_Facility"	"Queen's University Marine Laboratory Tidal Test Site"
	"Short_Name"	"QML"
	"Facility_Type"	"test site"
	"Sea"	"Strangford Lough"
	"Continent"	"Europe"
	"Country"	"United Kingdom"
	"Region"	"near Portaferry"
	"Latitude"	"54.369"
	"Longitude"	"-5.546"
	"Estimated_Commissioning"	""
	"Website"	"http://www.qub.ac.uk/research-centres/QueensUniversityMarineLaboratory"
	"Capacity"	"Warehouse building, slipway, moorings, boats (1 ton lift capacity on boat), barge and manufacturing/fabrication facilities, ADCP, ADV, Underwater Data Transmission, Underwater Video"
	"Major_Projects"	"<a href=""http://www.qednaval.co.uk/" target="_blank">SubHub @ QML</a>"
	"Image"	""
	"tooltip"	"Queen's University Marine Laboratory Tidal Test Site"
	"geometry"	"POINT (-617377.89593949 7240352.54402754)"

Tidal current
	"Status"	"early concept"
	"Name"	"Strangford Lough"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"United Kingdom"
	"Sea"	"Strangford Lough"
	"Region"	"near Strangford and Portaferry"
	"Latitude (° N)"	"54.369"
	"Longitude (° E)"	"-5.546"
	"Capacity [MW]"	""
	"Energy source"	"marine energy (current)"
	"Number of converters"	""
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	""
	"Operator"	"SIMEC Atlantis"
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	"http://www.atlantisresourcesltd.com/projects/strangford-lough/"
	"geometry"	"POINT (-617377.89593949 7240352.54402754)"

Bathymetry
	"Band 1"	"1.17268"

