OTEC
	"Status"	"early concept"
	"Name"	"Hainan Green Resort"
	"Commercial Readiness"	"commercial project"
	"Phase"	""
	"Country"	"China"
	"Sea"	"South China Sea"
	"Region"	"off Hainan Island"
	"Latitude (° N)"	"19.135401"
	"Longitude (° E)"	"109.757645"
	"Capacity [MW]"	"10"
	"Energy source"	"marine energy (OTEC)"
	"Number of converters"	"1"
	"(Estimated) begin of construction"	""
	"(Estimated) commissioning"	""
	"(Estimated) decommissioning"	""
	"Owner"	""
	"Project developer"	"Lockheed Martin"
	"Operator"	""
	"Converter manufacturer"	""
	"Converter type"	""
	"Converter working principle"	""
	"Converter capacity [MW]"	""
	"Website"	""
	"geometry"	"POINT (12218165.15206889 2170883.69293692)"

Bathymetry
	"Band 1"	"404"

